Executando GA na instância instances/max_sc_qbf/exp_n200.txt com População = 100, Taxa de Mutação = 0.01 por 1000 gerações
Método de inicialização: Default
gen=0 bestSolVal=4872.109999999999 t=0.037
gen=1 bestSolVal=5023.059999999999 t=0.086
gen=2 bestSolVal=6152.869999999998 t=0.128
gen=4 bestSolVal=6925.229999999999 t=0.195
gen=5 bestSolVal=7039.479999999996 t=0.227
gen=6 bestSolVal=7847.449999999997 t=0.26
gen=7 bestSolVal=8615.51 t=0.293
gen=8 bestSolVal=9543.6 t=0.327
gen=9 bestSolVal=9985.44 t=0.357
gen=11 bestSolVal=10561.26000000001 t=0.419
gen=12 bestSolVal=11969.840000000002 t=0.45
gen=16 bestSolVal=12615.359999999997 t=0.572
gen=17 bestSolVal=12991.320000000005 t=0.602
gen=18 bestSolVal=13020.45 t=0.633
gen=19 bestSolVal=13589.66 t=0.663
gen=21 bestSolVal=14106.779999999997 t=0.724
gen=22 bestSolVal=14574.749999999998 t=0.754
gen=24 bestSolVal=14799.070000000009 t=0.813
gen=25 bestSolVal=15596.559999999994 t=0.84
gen=26 bestSolVal=15669.3 t=0.867
gen=27 bestSolVal=15998.289999999999 t=0.897
gen=28 bestSolVal=16526.82000000001 t=0.926
gen=29 bestSolVal=16643.789999999997 t=0.956
gen=30 bestSolVal=16753.230000000007 t=0.987
gen=31 bestSolVal=17184.62 t=1.017
gen=32 bestSolVal=17367.670000000002 t=1.054
gen=33 bestSolVal=18043.860000000004 t=1.096
gen=34 bestSolVal=18157.590000000007 t=1.125
gen=36 bestSolVal=18247.129999999994 t=1.186
gen=37 bestSolVal=19103.979999999992 t=1.215
gen=39 bestSolVal=19269.879999999997 t=1.274
gen=41 bestSolVal=19341.850000000002 t=1.332
gen=44 bestSolVal=19428.469999999998 t=1.417
gen=47 bestSolVal=19926.110000000008 t=1.504
gen=53 bestSolVal=20015.160000000003 t=1.677
gen=55 bestSolVal=20056.959999999992 t=1.735
gen=57 bestSolVal=20187.719999999998 t=1.79
gen=60 bestSolVal=20434.99000000001 t=1.873
gen=62 bestSolVal=20926.679999999993 t=1.93
gen=63 bestSolVal=21318.16999999999 t=1.958
