Executando GA na instância instances/max_sc_qbf/normal_n200.txt com População = 100, Taxa de Mutação = 0.01 por 1000 gerações
Método de inicialização: Default
gen=0 bestSolVal=3662.8699999999985 t=0.037
gen=1 bestSolVal=4311.71 t=0.096
gen=3 bestSolVal=4692.999999999999 t=0.201
gen=4 bestSolVal=5306.0999999999985 t=0.251
gen=5 bestSolVal=5815.92 t=0.301
gen=6 bestSolVal=6363.829999999995 t=0.352
gen=7 bestSolVal=6718.209999999997 t=0.405
gen=8 bestSolVal=7190.16 t=0.468
gen=9 bestSolVal=7798.160000000002 t=0.521
gen=10 bestSolVal=8010.27 t=0.573
gen=11 bestSolVal=8315.67 t=0.625
gen=12 bestSolVal=8601.909999999998 t=0.678
gen=13 bestSolVal=8767.140000000007 t=0.731
gen=14 bestSolVal=10500.339999999995 t=0.784
gen=16 bestSolVal=10521.85 t=0.89
gen=17 bestSolVal=11103.119999999997 t=0.943
gen=18 bestSolVal=11213.199999999997 t=0.997
gen=19 bestSolVal=11932.170000000006 t=1.051
gen=20 bestSolVal=12569.970000000005 t=1.105
gen=21 bestSolVal=12622.569999999998 t=1.159
gen=25 bestSolVal=13144.350000000008 t=1.369
gen=28 bestSolVal=13388.020000000004 t=1.525
gen=29 bestSolVal=14693.670000000006 t=1.578
gen=34 bestSolVal=15001.21000000001 t=1.837
gen=37 bestSolVal=15551.640000000003 t=1.993
gen=39 bestSolVal=15820.299999999997 t=2.097
gen=40 bestSolVal=15906.670000000004 t=2.148
gen=41 bestSolVal=15917.290000000005 t=2.201
gen=42 bestSolVal=16244.709999999995 t=2.252
gen=43 bestSolVal=16532.31 t=2.304
gen=45 bestSolVal=17351.23999999999 t=2.407
gen=50 bestSolVal=17771.009999999995 t=2.666
gen=51 bestSolVal=17954.990000000005 t=2.718
gen=52 bestSolVal=18038.36000000001 t=2.771
gen=54 bestSolVal=18070.499999999996 t=2.876
gen=59 bestSolVal=18536.48 t=3.143
gen=60 bestSolVal=18813.48 t=3.195
gen=61 bestSolVal=19348.32 t=3.248
gen=71 bestSolVal=19776.309999999998 t=3.775
gen=72 bestSolVal=19843.53999999998 t=3.828
gen=83 bestSolVal=20481.820000000014 t=4.407
gen=85 bestSolVal=20533.050000000014 t=4.512
gen=88 bestSolVal=20638.44000000001 t=4.669
gen=95 bestSolVal=20681.69999999999 t=5.037
gen=96 bestSolVal=20760.57999999999 t=5.089
gen=97 bestSolVal=20853.299999999992 t=5.141
gen=104 bestSolVal=20920.999999999996 t=5.519
gen=105 bestSolVal=20958.209999999995 t=5.576
gen=118 bestSolVal=21281.529999999995 t=6.294
gen=124 bestSolVal=21395.980000000003 t=6.613
gen=128 bestSolVal=21414.260000000006 t=6.825
gen=136 bestSolVal=21611.640000000003 t=7.248
gen=137 bestSolVal=21721.32000000001 t=7.301
gen=156 bestSolVal=21765.409999999996 t=8.323
gen=157 bestSolVal=21966.97000000001 t=8.377
gen=179 bestSolVal=22252.230000000003 t=9.573
gen=197 bestSolVal=22353.579999999998 t=10.535
gen=214 bestSolVal=22400.759999999995 t=11.453
gen=217 bestSolVal=22550.869999999995 t=11.613
gen=332 bestSolVal=22552.780000000006 t=17.788
gen=342 bestSolVal=22575.47000000001 t=18.319
gen=364 bestSolVal=22584.21 t=19.486
gen=422 bestSolVal=22599.660000000003 t=22.631
gen=438 bestSolVal=22758.359999999997 t=23.499
gen=512 bestSolVal=22776.179999999997 t=27.543
gen=513 bestSolVal=22856.710000000006 t=27.598
gen=521 bestSolVal=22860.709999999992 t=28.031
gen=526 bestSolVal=22901.65000000001 t=28.303
gen=574 bestSolVal=22952.910000000007 t=30.898
gen=631 bestSolVal=23001.209999999992 t=33.994
gen=632 bestSolVal=23003.050000000007 t=34.048
gen=726 bestSolVal=23094.72000000001 t=39.222
gen=791 bestSolVal=23108.550000000007 t=42.758
gen=812 bestSolVal=23309.140000000007 t=43.965
gen=856 bestSolVal=23332.699999999997 t=46.506
gen=1186 bestSolVal=23372.569999999992 t=64.551
gen=1248 bestSolVal=23373.43999999999 t=67.931
gen=1361 bestSolVal=23412.68 t=74.09
gen=1362 bestSolVal=23427.03999999999 t=74.145
gen=1366 bestSolVal=23436.219999999994 t=74.362
gen=1378 bestSolVal=23488.67 t=75.012
gen=1642 bestSolVal=23504.479999999996 t=89.507
gen=2113 bestSolVal=23508.249999999996 t=115.11
gen=2190 bestSolVal=23512.980000000003 t=119.382
gen=2302 bestSolVal=23525.400000000005 t=125.459
gen=2429 bestSolVal=23545.830000000005 t=132.388
gen=3628 bestSolVal=23555.420000000002 t=197.534
Set coverage = [62, 68, 61, 59, 58, 61, 66, 62, 57, 64, 59, 60, 59, 64, 62, 63, 65, 66, 61, 58, 63, 56, 63, 76, 61, 62, 60, 71, 52, 61, 70, 56, 61, 52, 56, 58, 62, 67, 56, 65, 61, 59, 58, 63, 51, 55, 60, 68, 60, 65, 64, 59, 66, 61, 59, 68, 52, 62, 57, 58, 70, 59, 71, 58, 67, 66, 67, 68, 57, 67, 57, 71, 60, 56, 65, 61, 53, 67, 57, 59, 57, 53, 62, 62, 58, 62, 55, 66, 73, 64, 64, 64, 65, 60, 64, 67, 60, 60, 65, 70, 63, 58, 55, 66, 64, 65, 66, 57, 67, 66, 56, 73, 56, 56, 53, 66, 60, 61, 55, 49, 69, 73, 53, 59, 57, 61, 60, 68, 65, 56, 60, 60, 59, 66, 64, 64, 72, 64, 67, 65, 69, 62, 65, 54, 65, 70, 55, 64, 62, 66, 61, 53, 63, 59, 58, 62, 64, 54, 65, 64, 65, 66, 66, 64, 54, 74, 61, 63, 54, 56, 58, 66, 61, 69, 52, 57, 60, 59, 63, 62, 70, 63, 60, 60, 62, 61, 64, 59, 58, 57, 65, 76, 61, 74, 58, 61, 72, 53, 56, 60]
maxVal = Solution: cost=[23555.420000000002], size=[127], elements=[0, 1, 2, 5, 7, 9, 12, 14, 16, 17, 20, 21, 22, 23, 24, 26, 27, 29, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 44, 45, 46, 47, 49, 51, 52, 54, 55, 56, 57, 58, 59, 61, 62, 64, 66, 68, 69, 71, 72, 73, 74, 75, 77, 80, 83, 84, 85, 86, 87, 88, 90, 91, 92, 94, 95, 96, 97, 98, 99, 100, 103, 106, 107, 108, 109, 111, 112, 113, 116, 117, 119, 121, 122, 126, 127, 129, 130, 131, 132, 133, 134, 136, 138, 141, 142, 145, 147, 149, 150, 155, 156, 158, 159, 163, 166, 167, 168, 169, 170, 171, 175, 176, 178, 179, 180, 182, 183, 184, 185, 187, 190, 191, 194, 195, 196, 197, 198]
Time = 1800.101 seg
