Executando GA na instância instances/max_sc_qbf/exact_n200.txt com População = 100, Taxa de Mutação = 0.01 por 1000 gerações
Método de inicialização: Default
gen=0 bestSolVal=4297.739999999998 t=0.038
gen=3 bestSolVal=5374.379999999999 t=0.188
gen=4 bestSolVal=5952.6100000000015 t=0.237
gen=5 bestSolVal=6371.660000000004 t=0.284
gen=6 bestSolVal=6682.259999999998 t=0.331
gen=7 bestSolVal=7437.84 t=0.378
gen=10 bestSolVal=8419.840000000002 t=0.518
gen=11 bestSolVal=8497.139999999996 t=0.565
gen=12 bestSolVal=10032.170000000002 t=0.613
gen=15 bestSolVal=10154.679999999995 t=0.753
gen=16 bestSolVal=10300.189999999993 t=0.8
gen=17 bestSolVal=11022.089999999997 t=0.849
gen=18 bestSolVal=11049.6 t=0.896
gen=21 bestSolVal=11503.889999999998 t=1.035
gen=24 bestSolVal=12400.560000000005 t=1.177
gen=27 bestSolVal=12662.370000000004 t=1.32
gen=29 bestSolVal=13078.980000000001 t=1.417
gen=30 bestSolVal=13519.88999999999 t=1.466
gen=32 bestSolVal=13907.410000000005 t=1.562
gen=35 bestSolVal=14052.889999999996 t=1.706
gen=36 bestSolVal=15738.679999999993 t=1.754
gen=40 bestSolVal=16232.56 t=1.947
gen=44 bestSolVal=16259.499999999996 t=2.139
gen=45 bestSolVal=16294.590000000002 t=2.187
gen=46 bestSolVal=16720.93 t=2.235
gen=48 bestSolVal=17040.050000000003 t=2.33
gen=56 bestSolVal=17084.650000000005 t=2.715
gen=57 bestSolVal=17113.140000000007 t=2.763
gen=59 bestSolVal=17214.459999999995 t=2.86
gen=60 bestSolVal=17799.380000000005 t=2.908
gen=62 bestSolVal=17849.229999999992 t=3.005
gen=78 bestSolVal=17849.649999999994 t=3.781
gen=80 bestSolVal=17971.09999999999 t=3.879
gen=82 bestSolVal=18337.02 t=3.977
gen=85 bestSolVal=18800.08 t=4.124
gen=87 bestSolVal=18954.06000000001 t=4.222
gen=100 bestSolVal=19064.65000000001 t=4.87
gen=141 bestSolVal=19197.569999999992 t=6.944
gen=145 bestSolVal=19417.449999999993 t=7.143
gen=150 bestSolVal=19504.709999999995 t=7.392
gen=158 bestSolVal=19585.119999999988 t=7.79
gen=160 bestSolVal=19842.829999999994 t=7.889
gen=165 bestSolVal=19843.129999999994 t=8.136
gen=183 bestSolVal=20185.949999999993 t=9.04
gen=187 bestSolVal=20480.359999999986 t=9.24
Set coverage = [58, 65, 56, 55, 62, 64, 77, 61, 55, 69, 55, 72, 71, 69, 57, 63, 55, 70, 68, 51, 62, 62, 67, 52, 61, 70, 51, 63, 60, 58, 61, 64, 65, 66, 62, 61, 57, 62, 72, 62, 60, 62, 52, 65, 69, 62, 65, 69, 57, 79, 68, 67, 58, 58, 66, 67, 54, 64, 63, 55, 65, 55, 66, 67, 63, 64, 57, 64, 58, 60, 65, 60, 62, 61, 67, 64, 63, 65, 63, 69, 57, 68, 66, 60, 71, 68, 57, 60, 77, 52, 64, 69, 64, 58, 66, 56, 76, 65, 63, 61, 64, 67, 68, 68, 57, 63, 57, 52, 67, 70, 59, 60, 67, 59, 63, 63, 68, 65, 69, 66, 57, 69, 65, 59, 62, 62, 61, 56, 61, 55, 58, 58, 59, 64, 66, 69, 64, 59, 58, 59, 65, 53, 55, 65, 64, 64, 68, 71, 60, 69, 58, 63, 53, 62, 54, 57, 66, 66, 70, 64, 58, 52, 62, 70, 66, 59, 58, 61, 72, 65, 57, 69, 67, 56, 54, 55, 66, 65, 66, 60, 65, 68, 68, 45, 52, 62, 64, 64, 62, 62, 63, 63, 65, 68, 69, 60, 60, 55, 62, 58]
maxVal = Solution: cost=[20480.359999999986], size=[125], elements=[3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 24, 25, 27, 28, 30, 31, 32, 33, 35, 36, 39, 41, 42, 43, 45, 48, 49, 51, 52, 53, 55, 56, 57, 58, 60, 61, 62, 64, 65, 66, 67, 68, 69, 70, 71, 73, 76, 78, 82, 83, 84, 85, 88, 89, 93, 96, 97, 99, 102, 105, 106, 108, 109, 110, 111, 113, 114, 115, 116, 118, 119, 120, 121, 122, 123, 124, 125, 127, 130, 131, 132, 133, 137, 138, 141, 145, 147, 148, 151, 152, 153, 155, 157, 158, 160, 161, 162, 168, 169, 173, 175, 176, 177, 179, 181, 183, 185, 187, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199]
Time = 9.252 seg
