Executando GA na instância instances/max_sc_qbf/exact_n200.txt com População = 100, Taxa de Mutação = 0.01 por 1000 gerações
Método de inicialização: Default
gen=0 bestSolVal=3205.1000000000013 t=0.036
gen=1 bestSolVal=3780.2500000000005 t=0.094
gen=2 bestSolVal=4349.76 t=0.146
gen=3 bestSolVal=5288.490000000002 t=0.196
gen=4 bestSolVal=5591.139999999998 t=0.246
gen=5 bestSolVal=6960.8 t=0.295
gen=7 bestSolVal=7038.999999999999 t=0.395
gen=8 bestSolVal=7273.500000000009 t=0.445
gen=10 bestSolVal=7450.530000000002 t=0.546
gen=11 bestSolVal=8709.52 t=0.596
gen=13 bestSolVal=9501.539999999999 t=0.699
gen=16 bestSolVal=10598.890000000001 t=0.857
gen=20 bestSolVal=11037.229999999996 t=1.061
gen=23 bestSolVal=11481.710000000003 t=1.212
gen=24 bestSolVal=11946.080000000004 t=1.263
gen=26 bestSolVal=12245.000000000004 t=1.362
gen=28 bestSolVal=12308.020000000002 t=1.461
gen=29 bestSolVal=12489.560000000005 t=1.512
gen=30 bestSolVal=13085.17 t=1.564
gen=31 bestSolVal=13173.810000000001 t=1.616
gen=32 bestSolVal=13625.059999999998 t=1.669
gen=33 bestSolVal=13731.819999999996 t=1.722
gen=35 bestSolVal=13949.95 t=1.827
gen=36 bestSolVal=13978.600000000006 t=1.879
gen=37 bestSolVal=14150.020000000002 t=1.931
gen=39 bestSolVal=14705.400000000001 t=2.034
gen=40 bestSolVal=14758.839999999997 t=2.084
gen=42 bestSolVal=15062.43 t=2.184
gen=47 bestSolVal=15157.439999999995 t=2.429
gen=48 bestSolVal=15229.849999999997 t=2.48
gen=49 bestSolVal=15402.95 t=2.533
gen=50 bestSolVal=15427.999999999995 t=2.585
gen=51 bestSolVal=15847.379999999997 t=2.638
gen=55 bestSolVal=16950.049999999992 t=2.847
gen=61 bestSolVal=17128.569999999992 t=3.155
gen=62 bestSolVal=17354.54 t=3.205
gen=68 bestSolVal=17576.35000000001 t=3.508
gen=75 bestSolVal=17615.739999999994 t=3.87
gen=76 bestSolVal=17639.389999999992 t=3.92
gen=78 bestSolVal=18629.450000000004 t=4.021
gen=84 bestSolVal=19009.270000000008 t=4.323
gen=96 bestSolVal=19197.199999999997 t=4.936
gen=99 bestSolVal=19281.85 t=5.09
gen=104 bestSolVal=19340.50000000001 t=5.348
gen=116 bestSolVal=19390.199999999997 t=5.961
gen=130 bestSolVal=19561.010000000006 t=6.701
gen=135 bestSolVal=19662.559999999998 t=6.968
gen=137 bestSolVal=19737.240000000016 t=7.074
gen=149 bestSolVal=19857.770000000008 t=7.691
gen=150 bestSolVal=20079.49000000001 t=7.742
gen=161 bestSolVal=20141.75 t=8.299
