Executando GA na instância instances/max_sc_qbf/exact_n200.txt com População = 100, Taxa de Mutação = 0.01 por 1000 gerações
Método de inicialização: Default
gen=0 bestSolVal=3871.139999999999 t=0.036
gen=1 bestSolVal=3896.049999999998 t=0.091
gen=2 bestSolVal=7057.059999999998 t=0.141
gen=8 bestSolVal=7816.94 t=0.417
gen=9 bestSolVal=9082.579999999998 t=0.463
gen=11 bestSolVal=9366.209999999995 t=0.557
gen=13 bestSolVal=9439.540000000003 t=0.65
gen=14 bestSolVal=9530.060000000001 t=0.697
gen=15 bestSolVal=10817.970000000007 t=0.743
gen=19 bestSolVal=11040.940000000006 t=0.931
gen=20 bestSolVal=11844.69000000001 t=0.979
gen=24 bestSolVal=12167.860000000006 t=1.167
gen=25 bestSolVal=13080.120000000008 t=1.214
gen=26 bestSolVal=13429.550000000001 t=1.261
gen=30 bestSolVal=13593.879999999996 t=1.451
gen=31 bestSolVal=13898.949999999993 t=1.499
gen=32 bestSolVal=14321.869999999999 t=1.546
gen=34 bestSolVal=14410.43 t=1.644
gen=35 bestSolVal=14707.73 t=1.692
gen=41 bestSolVal=15161.57 t=1.982
gen=43 bestSolVal=15398.209999999994 t=2.079
gen=45 bestSolVal=15427.039999999992 t=2.176
gen=48 bestSolVal=15448.819999999998 t=2.319
gen=50 bestSolVal=16080.049999999996 t=2.415
gen=52 bestSolVal=16224.260000000007 t=2.512
gen=53 bestSolVal=16226.73 t=2.56
gen=54 bestSolVal=16568.61000000001 t=2.609
gen=57 bestSolVal=16570.379999999997 t=2.757
gen=58 bestSolVal=16616.84 t=2.807
gen=59 bestSolVal=16742.990000000005 t=2.857
gen=66 bestSolVal=16782.52999999999 t=3.205
gen=68 bestSolVal=17028.939999999995 t=3.304
gen=69 bestSolVal=17029.620000000006 t=3.353
gen=70 bestSolVal=17506.059999999998 t=3.403
gen=79 bestSolVal=17704.880000000005 t=3.849
gen=81 bestSolVal=18031.370000000003 t=3.948
gen=83 bestSolVal=18374.050000000007 t=4.048
gen=86 bestSolVal=18391.300000000007 t=4.199
gen=96 bestSolVal=18545.629999999994 t=4.708
gen=100 bestSolVal=18770.94 t=4.912
gen=101 bestSolVal=18802.859999999997 t=4.963
gen=105 bestSolVal=19077.619999999995 t=5.167
gen=106 bestSolVal=19165.179999999997 t=5.218
gen=107 bestSolVal=19171.62 t=5.269
gen=113 bestSolVal=19184.110000000004 t=5.576
gen=115 bestSolVal=19430.080000000013 t=5.679
gen=120 bestSolVal=19710.060000000012 t=5.933
gen=135 bestSolVal=19928.39000000001 t=6.689
gen=155 bestSolVal=19952.310000000012 t=7.701
gen=163 bestSolVal=20116.519999999982 t=8.106
gen=171 bestSolVal=20168.14 t=8.51
gen=172 bestSolVal=20249.770000000004 t=8.56
gen=174 bestSolVal=20310.510000000013 t=8.661
gen=202 bestSolVal=20373.65 t=10.071
gen=205 bestSolVal=20512.220000000005 t=10.222
gen=229 bestSolVal=20741.180000000015 t=11.42
gen=242 bestSolVal=20814.61000000001 t=12.072
gen=261 bestSolVal=20855.070000000003 t=13.032
gen=274 bestSolVal=21005.420000000002 t=13.685
gen=296 bestSolVal=21012.78 t=14.816
gen=334 bestSolVal=21036.050000000003 t=16.765
gen=335 bestSolVal=21062.259999999987 t=16.816
gen=360 bestSolVal=21097.589999999986 t=18.101
gen=364 bestSolVal=21124.130000000023 t=18.307
gen=418 bestSolVal=21173.92000000002 t=21.052
gen=422 bestSolVal=21179.130000000026 t=21.254
gen=443 bestSolVal=21192.77000000003 t=22.922
gen=490 bestSolVal=21206.95999999999 t=25.635
gen=491 bestSolVal=21211.06999999999 t=25.687
gen=494 bestSolVal=21281.79 t=25.841
gen=496 bestSolVal=21339.029999999988 t=25.943
Set coverage = [63, 69, 61, 59, 65, 61, 79, 65, 61, 67, 56, 75, 70, 73, 59, 60, 56, 69, 69, 50, 64, 60, 67, 56, 59, 66, 53, 63, 68, 56, 58, 65, 66, 64, 66, 65, 61, 67, 75, 63, 60, 59, 54, 65, 67, 64, 66, 68, 59, 82, 68, 61, 56, 61, 66, 73, 60, 60, 61, 58, 64, 56, 61, 71, 64, 61, 65, 64, 56, 63, 68, 61, 66, 66, 67, 64, 67, 68, 64, 67, 60, 70, 66, 62, 71, 68, 60, 60, 79, 55, 66, 64, 69, 63, 67, 57, 74, 68, 67, 61, 67, 72, 65, 67, 59, 70, 63, 53, 72, 70, 55, 61, 65, 59, 62, 60, 74, 60, 68, 74, 60, 72, 68, 62, 66, 64, 63, 61, 67, 57, 61, 59, 58, 67, 66, 69, 67, 64, 61, 61, 64, 55, 58, 67, 60, 68, 72, 71, 62, 74, 59, 63, 58, 63, 57, 56, 66, 68, 69, 61, 63, 57, 67, 71, 66, 64, 63, 66, 73, 71, 62, 68, 68, 65, 59, 57, 67, 69, 60, 62, 62, 67, 68, 48, 51, 64, 62, 59, 62, 61, 63, 66, 64, 72, 77, 60, 61, 59, 65, 64]
maxVal = Solution: cost=[21339.029999999988], size=[128], elements=[1, 3, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 36, 38, 40, 41, 42, 45, 48, 49, 50, 51, 52, 53, 55, 56, 57, 58, 60, 61, 64, 65, 67, 68, 69, 70, 71, 72, 73, 75, 76, 78, 84, 85, 88, 91, 93, 96, 97, 99, 101, 102, 104, 105, 106, 109, 110, 111, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 124, 125, 126, 127, 128, 130, 131, 132, 137, 138, 141, 145, 147, 148, 151, 152, 153, 155, 157, 158, 160, 161, 162, 163, 165, 168, 169, 172, 173, 174, 175, 176, 177, 181, 182, 183, 185, 187, 190, 192, 193, 194, 195, 196, 197, 198, 199]
Time = 25.955 seg
