instance=instances/exact_n100.txt method=std+int
Solution from CH:
t=0.01 Solution: cost=[-817.44], size=[7], elements=[82, 34, 85, 95, 78, 32, 42]
Solutions from TS:
it=1 t=0.02 cost=-837.68 size=8
it=2 t=0.04 cost=-907.68 size=9
it=3 t=0.04 cost=-1114.40 size=10
it=4 t=0.04 cost=-1218.46 size=11
it=5 t=0.04 cost=-1354.84 size=12
it=6 t=0.04 cost=-1408.33 size=13
it=7 t=0.04 cost=-1524.90 size=14
it=8 t=0.04 cost=-1555.51 size=15
it=9 t=0.04 cost=-1676.21 size=16
it=10 t=0.04 cost=-1940.80 size=17
it=11 t=0.04 cost=-2153.71 size=18
it=12 t=0.04 cost=-2228.19 size=19
it=13 t=0.04 cost=-2490.54 size=20
it=14 t=0.05 cost=-2713.48 size=21
it=15 t=0.05 cost=-2955.10 size=22
it=16 t=0.05 cost=-3204.64 size=23
it=17 t=0.05 cost=-3359.24 size=24
it=18 t=0.05 cost=-3646.23 size=25
it=19 t=0.05 cost=-3844.20 size=26
it=20 t=0.05 cost=-4337.92 size=27
it=21 t=0.05 cost=-4640.97 size=28
it=22 t=0.05 cost=-4892.01 size=29
it=23 t=0.05 cost=-5172.44 size=30
it=24 t=0.05 cost=-5365.99 size=31
it=25 t=0.05 cost=-5931.12 size=32
it=26 t=0.05 cost=-6132.24 size=33
it=27 t=0.05 cost=-6459.34 size=34
it=28 t=0.06 cost=-6578.40 size=35
it=29 t=0.06 cost=-7191.14 size=36
it=30 t=0.06 cost=-7796.55 size=37
it=31 t=0.06 cost=-8183.22 size=38
it=32 t=0.06 cost=-8826.78 size=39
it=33 t=0.06 cost=-9525.82 size=40
it=34 t=0.06 cost=-10011.86 size=41
it=35 t=0.06 cost=-10424.73 size=42
it=36 t=0.06 cost=-11216.32 size=43
it=37 t=0.06 cost=-11892.30 size=44
it=38 t=0.06 cost=-12216.11 size=45
it=39 t=0.06 cost=-12361.80 size=46
it=40 t=0.06 cost=-12540.33 size=47
it=41 t=0.06 cost=-12961.69 size=48
it=42 t=0.06 cost=-13536.08 size=49
it=43 t=0.06 cost=-13792.83 size=50
it=44 t=0.06 cost=-14110.77 size=51
it=45 t=0.06 cost=-14882.59 size=52
it=46 t=0.06 cost=-15382.21 size=53
it=47 t=0.06 cost=-16061.22 size=54
it=48 t=0.06 cost=-16352.14 size=55
it=49 t=0.06 cost=-16805.43 size=56
it=50 t=0.06 cost=-17295.44 size=57
it=51 t=0.06 cost=-17819.94 size=58
it=52 t=0.06 cost=-18227.00 size=59
it=53 t=0.06 cost=-18647.85 size=60
it=54 t=0.06 cost=-19487.39 size=61
it=55 t=0.07 cost=-20075.26 size=62
it=56 t=0.07 cost=-20759.48 size=63
it=57 t=0.07 cost=-21429.40 size=64
it=58 t=0.07 cost=-22016.90 size=65
it=59 t=0.07 cost=-22753.97 size=66
it=60 t=0.07 cost=-23305.49 size=67
it=61 t=0.07 cost=-23901.95 size=68
it=62 t=0.07 cost=-24572.25 size=69
it=63 t=0.07 cost=-25166.79 size=70
it=64 t=0.07 cost=-25733.22 size=71
it=65 t=0.07 cost=-26667.74 size=72
it=66 t=0.07 cost=-27500.93 size=73
it=67 t=0.07 cost=-28131.24 size=74
it=68 t=0.07 cost=-29004.78 size=75
it=69 t=0.07 cost=-29850.87 size=76
it=70 t=0.07 cost=-30420.53 size=77
it=71 t=0.07 cost=-31605.32 size=78
it=72 t=0.07 cost=-32634.29 size=79
it=73 t=0.07 cost=-33571.72 size=80
it=74 t=0.07 cost=-34372.57 size=81
it=75 t=0.07 cost=-35466.83 size=82
it=76 t=0.07 cost=-36371.19 size=83
it=77 t=0.07 cost=-37289.10 size=84
it=78 t=0.07 cost=-38628.62 size=85
it=79 t=0.07 cost=-39571.47 size=86
it=80 t=0.07 cost=-40565.27 size=87
it=81 t=0.07 cost=-41424.29 size=88
it=82 t=0.07 cost=-42719.45 size=89
it=83 t=0.08 cost=-43637.63 size=90
it=84 t=0.08 cost=-44509.91 size=91
it=85 t=0.08 cost=-45389.35 size=92
it=86 t=0.08 cost=-46177.16 size=93
it=87 t=0.08 cost=-47372.62 size=94
it=88 t=0.08 cost=-48164.59 size=95
it=89 t=0.08 cost=-49312.28 size=96
it=90 t=0.08 cost=-50660.42 size=97
it=91 t=0.08 cost=-51724.43 size=98
it=92 t=0.08 cost=-52529.47 size=99
it=93 t=0.08 cost=-54155.36 size=100
