instance=instances/exp_n100.txt method=std+int
Solution from CH:
t=0.01 Solution: cost=[-5146.920000000001], size=[24], elements=[77, 82, 66, 92, 67, 46, 47, 28, 48, 13, 4, 90, 63, 38, 27, 60, 44, 69, 40, 56, 54, 39, 62, 6]
Solutions from TS:
it=1 t=0.03 cost=-5193.97 size=25
it=2 t=0.04 cost=-5359.44 size=26
it=3 t=0.04 cost=-5574.26 size=27
it=4 t=0.04 cost=-5872.48 size=28
it=5 t=0.04 cost=-6176.04 size=29
it=6 t=0.04 cost=-6227.15 size=30
it=7 t=0.04 cost=-6787.40 size=31
it=8 t=0.04 cost=-7236.80 size=32
it=9 t=0.04 cost=-7497.07 size=33
it=10 t=0.04 cost=-7945.98 size=34
it=11 t=0.04 cost=-8321.09 size=35
it=12 t=0.04 cost=-8799.31 size=36
it=13 t=0.05 cost=-9235.10 size=37
it=14 t=0.05 cost=-9501.21 size=38
it=15 t=0.05 cost=-10007.18 size=39
it=16 t=0.05 cost=-10412.23 size=40
it=17 t=0.05 cost=-10690.27 size=41
it=18 t=0.05 cost=-11110.83 size=42
it=19 t=0.05 cost=-11283.22 size=43
it=20 t=0.05 cost=-11380.36 size=44
it=21 t=0.05 cost=-11940.71 size=45
it=22 t=0.05 cost=-12412.97 size=46
it=23 t=0.05 cost=-12799.65 size=47
it=24 t=0.05 cost=-13233.70 size=48
it=25 t=0.05 cost=-13796.26 size=49
it=26 t=0.05 cost=-14568.80 size=50
it=27 t=0.05 cost=-14998.68 size=51
it=28 t=0.05 cost=-15418.77 size=52
it=29 t=0.05 cost=-16046.19 size=53
it=30 t=0.05 cost=-16523.25 size=54
it=31 t=0.05 cost=-17196.96 size=55
it=32 t=0.05 cost=-17924.52 size=56
it=33 t=0.05 cost=-18631.28 size=57
it=34 t=0.05 cost=-19063.77 size=58
it=35 t=0.06 cost=-19644.77 size=59
it=36 t=0.06 cost=-19978.39 size=60
it=37 t=0.06 cost=-20587.62 size=61
it=38 t=0.06 cost=-20953.61 size=62
it=39 t=0.06 cost=-21506.68 size=63
it=40 t=0.06 cost=-22179.21 size=64
it=41 t=0.06 cost=-22951.23 size=65
it=42 t=0.06 cost=-23302.10 size=66
it=43 t=0.06 cost=-23924.51 size=67
it=44 t=0.06 cost=-24590.82 size=68
it=45 t=0.06 cost=-25195.27 size=69
it=46 t=0.06 cost=-25942.84 size=70
it=47 t=0.06 cost=-26831.04 size=71
it=48 t=0.06 cost=-27753.51 size=72
it=49 t=0.06 cost=-28383.59 size=73
it=50 t=0.06 cost=-29103.84 size=74
it=51 t=0.06 cost=-29737.42 size=75
it=52 t=0.06 cost=-30100.07 size=76
it=53 t=0.06 cost=-31174.79 size=77
it=54 t=0.06 cost=-31947.94 size=78
it=55 t=0.06 cost=-32962.25 size=79
it=56 t=0.06 cost=-33540.54 size=80
it=57 t=0.06 cost=-34217.98 size=81
it=58 t=0.06 cost=-35047.01 size=82
it=59 t=0.06 cost=-35666.10 size=83
it=60 t=0.06 cost=-36287.84 size=84
it=61 t=0.07 cost=-37188.37 size=85
it=62 t=0.07 cost=-37979.55 size=86
it=63 t=0.07 cost=-39071.63 size=87
it=64 t=0.07 cost=-40156.68 size=88
it=65 t=0.07 cost=-40805.92 size=89
it=66 t=0.07 cost=-41899.09 size=90
it=67 t=0.07 cost=-42552.90 size=91
it=68 t=0.07 cost=-43536.26 size=92
it=69 t=0.07 cost=-44156.53 size=93
it=70 t=0.07 cost=-45326.78 size=94
it=71 t=0.07 cost=-46037.02 size=95
it=72 t=0.07 cost=-46760.29 size=96
it=73 t=0.07 cost=-47637.89 size=97
it=74 t=0.07 cost=-48159.89 size=98
it=75 t=0.07 cost=-48916.86 size=99
it=76 t=0.07 cost=-49715.02 size=100
