instance=instances/normal_n100.txt method=std+int
Solution from CH:
t=0.01 Solution: cost=[-924.5799999999999], size=[7], elements=[21, 7, 43, 13, 15, 29, 41]
Solutions from TS:
it=1 t=0.02 cost=-1034.54 size=8
it=2 t=0.03 cost=-1148.54 size=9
it=3 t=0.03 cost=-1261.61 size=10
it=4 t=0.03 cost=-1474.14 size=11
it=5 t=0.03 cost=-1554.31 size=12
it=6 t=0.03 cost=-1633.69 size=13
it=7 t=0.03 cost=-1732.11 size=14
it=8 t=0.03 cost=-1844.00 size=15
it=9 t=0.03 cost=-1986.48 size=16
it=10 t=0.04 cost=-2192.21 size=17
it=11 t=0.04 cost=-2404.38 size=18
it=12 t=0.04 cost=-2555.86 size=19
it=13 t=0.04 cost=-2891.59 size=20
it=14 t=0.04 cost=-3149.74 size=21
it=15 t=0.04 cost=-3471.09 size=22
it=16 t=0.04 cost=-3793.29 size=23
it=17 t=0.04 cost=-4085.86 size=24
it=18 t=0.04 cost=-4143.11 size=25
it=19 t=0.04 cost=-4520.63 size=26
it=20 t=0.04 cost=-4849.90 size=27
it=21 t=0.04 cost=-5081.73 size=28
it=22 t=0.04 cost=-5211.04 size=29
it=23 t=0.04 cost=-5225.28 size=30
it=24 t=0.04 cost=-5581.37 size=31
it=25 t=0.04 cost=-5841.17 size=32
it=26 t=0.04 cost=-6135.84 size=33
it=27 t=0.04 cost=-6512.09 size=34
it=28 t=0.05 cost=-6749.54 size=35
it=29 t=0.05 cost=-7009.86 size=36
it=30 t=0.05 cost=-7382.11 size=37
it=31 t=0.05 cost=-7583.17 size=38
it=32 t=0.05 cost=-8027.91 size=39
it=33 t=0.05 cost=-8323.39 size=40
it=34 t=0.05 cost=-8791.88 size=41
it=35 t=0.05 cost=-9117.25 size=42
it=36 t=0.05 cost=-9692.68 size=43
it=37 t=0.05 cost=-10224.50 size=44
it=38 t=0.05 cost=-10422.31 size=45
it=39 t=0.05 cost=-11221.95 size=46
it=40 t=0.05 cost=-11728.80 size=47
it=41 t=0.05 cost=-12079.52 size=48
it=42 t=0.05 cost=-12592.57 size=49
it=43 t=0.05 cost=-13318.37 size=50
it=44 t=0.05 cost=-13588.73 size=51
it=45 t=0.05 cost=-14146.59 size=52
it=46 t=0.05 cost=-14675.93 size=53
it=47 t=0.05 cost=-15184.87 size=54
it=48 t=0.05 cost=-15501.00 size=55
it=49 t=0.05 cost=-16113.39 size=56
it=50 t=0.06 cost=-16575.13 size=57
it=51 t=0.06 cost=-17292.73 size=58
it=52 t=0.06 cost=-17798.31 size=59
it=53 t=0.06 cost=-18398.37 size=60
it=54 t=0.06 cost=-18806.20 size=61
it=55 t=0.06 cost=-19340.74 size=62
it=56 t=0.06 cost=-20144.39 size=63
it=57 t=0.06 cost=-20931.86 size=64
it=58 t=0.06 cost=-21489.23 size=65
it=59 t=0.06 cost=-21992.96 size=66
it=60 t=0.06 cost=-22751.90 size=67
it=61 t=0.06 cost=-23714.32 size=68
it=62 t=0.06 cost=-24434.75 size=69
it=63 t=0.06 cost=-25233.10 size=70
it=64 t=0.06 cost=-25715.67 size=71
it=65 t=0.06 cost=-26475.10 size=72
it=66 t=0.06 cost=-27497.39 size=73
it=67 t=0.06 cost=-28000.77 size=74
it=68 t=0.06 cost=-28378.66 size=75
it=69 t=0.06 cost=-29132.99 size=76
it=70 t=0.06 cost=-30139.11 size=77
it=71 t=0.07 cost=-30547.09 size=78
it=72 t=0.07 cost=-31540.92 size=79
it=73 t=0.07 cost=-31929.85 size=80
it=74 t=0.07 cost=-32830.04 size=81
it=75 t=0.07 cost=-33385.90 size=82
it=76 t=0.07 cost=-34342.33 size=83
it=77 t=0.07 cost=-34746.53 size=84
it=78 t=0.07 cost=-35527.94 size=85
it=79 t=0.07 cost=-36263.42 size=86
it=80 t=0.07 cost=-37225.21 size=87
it=81 t=0.07 cost=-37875.79 size=88
it=82 t=0.07 cost=-38725.59 size=89
it=83 t=0.07 cost=-39604.23 size=90
it=84 t=0.07 cost=-40377.88 size=91
it=85 t=0.07 cost=-41354.92 size=92
it=86 t=0.07 cost=-42168.68 size=93
it=87 t=0.07 cost=-43190.06 size=94
it=88 t=0.07 cost=-44270.02 size=95
it=89 t=0.07 cost=-45224.55 size=96
it=90 t=0.07 cost=-46000.61 size=97
it=91 t=0.07 cost=-46727.95 size=98
it=92 t=0.07 cost=-47779.78 size=99
it=93 t=0.07 cost=-48902.51 size=100
