instance=instances/normal_n50.txt method=std+int
Solution from CH:
t=0.0 Solution: cost=[-475.5], size=[5], elements=[43, 1, 6, 49, 16]
Solutions from TS:
it=1 t=0.01 cost=-521.69 size=6
it=2 t=0.02 cost=-564.07 size=7
it=3 t=0.03 cost=-650.76 size=8
it=4 t=0.03 cost=-704.22 size=9
it=5 t=0.03 cost=-764.52 size=10
it=6 t=0.03 cost=-971.58 size=11
it=7 t=0.03 cost=-1098.87 size=12
it=8 t=0.03 cost=-1109.82 size=13
it=9 t=0.03 cost=-1149.11 size=14
it=10 t=0.03 cost=-1339.61 size=15
it=11 t=0.03 cost=-1372.64 size=16
it=12 t=0.03 cost=-1380.89 size=17
it=13 t=0.03 cost=-1394.41 size=18
it=14 t=0.03 cost=-1553.18 size=19
it=15 t=0.03 cost=-1567.75 size=20
it=16 t=0.03 cost=-1592.12 size=21
it=17 t=0.03 cost=-1659.87 size=22
it=18 t=0.03 cost=-1783.93 size=23
it=19 t=0.03 cost=-1874.85 size=24
it=20 t=0.03 cost=-1966.20 size=25
it=21 t=0.04 cost=-1993.97 size=26
it=22 t=0.04 cost=-2173.94 size=27
it=23 t=0.04 cost=-2198.56 size=28
it=24 t=0.04 cost=-2202.17 size=29
it=25 t=0.04 cost=-2444.15 size=30
it=26 t=0.04 cost=-2491.75 size=31
it=27 t=0.04 cost=-2495.19 size=32
it=28 t=0.04 cost=-2534.52 size=33
it=29 t=0.04 cost=-2609.62 size=34
it=30 t=0.04 cost=-2629.70 size=35
it=31 t=0.04 cost=-2639.56 size=34
it=32 t=0.04 cost=-2670.63 size=33
it=33 t=0.04 cost=-2695.80 size=34
it=34 t=0.04 cost=-2732.98 size=33
it=35 t=0.04 cost=-2741.30 size=34
it=36 t=0.04 cost=-2754.40 size=33
it=37 t=0.04 cost=-2759.38 size=34
it=38 t=0.04 cost=-2760.91 size=33
it=39 t=0.04 cost=-2794.17 size=34
it=40 t=0.05 cost=-2801.53 size=33
it=42 t=0.06 cost=-2824.47 size=32
it=43 t=0.13 cost=-2825.67 size=31
it=44 t=0.13 cost=-2851.09 size=31
it=45 t=0.13 cost=-2896.26 size=30
